batch_cyvP66p47P5rgC0sdIDzAm2x,"random injected noise, serious run 1, k=1, pos=first -part 1",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_1.jsonl
batch_esT6brKFQqz0vB5JdU4WAoCs,"random injected noise, serious run 1, k=1, pos=first -part 2",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_2.jsonl
batch_JEVpiyEiW4MS9gDcy1rwDqTb,"random injected noise, serious run 1, k=1, pos=first -part 3",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_3.jsonl
batch_no9OEGl4fNNByXLbEKuaoOt7,"random injected noise, serious run 1, k=1, pos=first -part 4",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_4.jsonl
batch_EqCpVnyTVWREwAeGprzgt54g,"random injected noise, serious run 1, k=1, pos=first -part 5",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_5.jsonl
batch_aFNwTlkGtcPWJI7YpaEUEmaO,"random injected noise, serious run 1, k=1, pos=first -part 6",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_6.jsonl
batch_xGF9Ci0A55FUZeSJCiQfP48j,"random injected noise, serious run 1, k=1, pos=first -part 7",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_7.jsonl
batch_mUzIZmgTOJhMTq2Hc7EhV01s,"random injected noise, serious run 1, k=1, pos=first -part 8",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_8.jsonl
batch_xBOzR9e1EuOxhON3qGIRirrK,"random injected noise, serious run 1, k=1, pos=first -part 9",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_9.jsonl
batch_Y8XjmtNPEtBpaQwnycsGZeVW,"random injected noise, serious run 1, k=1, pos=first -part 10",results/top10-random-k1_1-k2_2_first/20240613_024222/submitted_batch_part_10.jsonl
batch_3SpLbigKfPl1sQzQ2f5Gg6r9,"random injected noise, serious run 1, k=1, pos=middle -part 1",results/top10-random-k1_1-k2_2_middle/20240613_030401/submitted_batch_part_1.jsonl
batch_TOFE71vbDNFG2jUuFnRhc1QM,"random injected noise, serious run 1, k=1, pos=middle -part 2",results/top10-random-k1_1-k2_2_middle/20240613_030401/submitted_batch_part_2.jsonl
batch_6yBQ5WVQygLo0KT8mvchL1xm,"random injected noise, serious run 1, k=1, pos=middle -part 3",results/top10-random-k1_1-k2_2_middle/20240613_030401/submitted_batch_part_3.jsonl
